episode,oracle,trained
1,0.999,0.001
2,0.999,0.001
3,0.999,0.001
4,0.999,0.001
5,0.999,0.001
6,0.999,0.001
7,0.999,0.001
8,0.999,0.001
9,0.999,0.001
10,0.999,0.001
11,0.999,0.001
12,0.999,0.001
13,0.999,0.001
14,0.999,0.001
15,0.999,0.001
